,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
455,4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,14.1,36.3411,-0.515156908,0,0,-12.389088,24.80544,-3.63591866,7.1904,-7.8588,-19.1193,0.473556,-9.474738,15.81749443,
456,4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01,12.7,36.3411,-0.506101172,0,0,-12.389088,22.7183616,-3.85206162,7.1904,-7.8588,-19.1193,0.097464,-9.934626,12.68734881,
457,8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94,13.5,36.3411,-0.888942872,0,0,-12.389088,22.5662976,-4.14851184,7.1904,-7.8588,-19.1193,0.03255,-8.852844,12.87286089,
458,7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,14.9,36.3411,-0.840341732,0,0,-12.389088,23.9538816,-4.15433337,7.1904,-7.8588,-19.1193,2.531553,-8.481798,17.1732735,
459,6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7,20,36.3411,-0.737246828,0,0,-12.389088,23.1175296,-4.05641225,7.1904,-7.8588,-19.1193,3.69117,-7.68222,18.49713252,
460,4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,255.23,16.42,16.4,36.3411,-0.521634892,0,0,-12.389088,25.4745216,-3.87728825,7.1904,-7.8588,-19.1193,2.373639,-8.581092,19.03245746,
461,3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.7,36.3411,-0.400333124,0,0,-12.389088,24.2390016,-3.83191017,7.1904,-7.8588,-19.1193,3.640299,-7.65609,20.15527931,
462,6.65492,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,396.9,13.99,19.5,36.3411,-0.721393328,0,0,-12.389088,24.0147072,-4.08163888,7.1904,-7.8588,-19.1193,3.69117,-7.311174,19.75598299,
463,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,20.2,36.3411,-0.63101266,0,0,-12.389088,24.7598208,-4.18194832,7.1904,-7.8588,-19.1193,3.662526,-5.377554,22.39614382,
464,7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,21.4,36.3411,-0.849782288,0,0,-11.38128,23.6041344,-4.42346718,7.1904,-7.8588,-19.1193,3.69117,-6.908772,20.28540293,
465,3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13,19.9,36.3411,-0.34293424,0,0,-11.38128,21.8934144,-4.57736455,7.1904,-7.8588,-19.1193,3.10992,-7.384338,17.87081761,
466,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15,19,36.3411,-0.409207832,0,0,-11.38128,22.6271232,-4.28628805,7.1904,-7.8588,-19.1193,0.204693,-8.96259,14.34585032,
467,4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32,19.1,36.3411,-0.479375152,0,0,-10.147584,22.8210048,-3.79190581,7.1904,-7.8588,-19.1193,3.080997,-11.141832,16.89470484,
468,15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,368.74,18.13,19.1,36.3411,-1.68840588,0,0,-10.07808,22.5282816,-4.34136868,7.1904,-7.8588,-19.1193,3.429282,-9.474738,16.92837104,
469,13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76,20.1,36.3411,-1.41734084,0,0,-10.07808,21.7185408,-4.21493699,7.1904,-7.8588,-19.1193,3.69117,-7.713576,18.53917697,
470,4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,666,20.2,396.9,16.29,19.9,36.3411,-0.471408836,0,0,-10.07808,23.4444672,-4.52795618,7.1904,-7.8588,-19.1193,3.69117,-8.513154,20.09843818,
471,4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,19.6,36.3411,-0.437763644,0,0,-9.244032,23.6801664,-4.62632511,7.1904,-7.8588,-19.1193,3.676569,-6.725862,22.87615265,
472,3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,393.37,14.36,23.2,36.3411,-0.386844912,0,0,-10.07808,24.4708992,-4.32360555,7.1904,-7.8588,-19.1193,3.658341,-7.504536,22.38957374,
473,4.64689,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,29.8,36.3411,-0.503722876,0,0,-10.668864,26.535168,-3.78085983,7.1904,-7.8588,-19.1193,3.484524,-6.093516,25.52612929,
474,8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,13.8,36.3411,-0.873247636,0,0,-10.147584,20.6312832,-3.62696246,7.1904,-7.8588,-19.1193,3.278994,-9.479964,16.3359191,
475,6.39312,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1,13.3,36.3411,-0.693014208,0,0,-10.147584,23.4254592,-3.2928962,7.1904,-7.8588,-19.1193,2.815668,-12.59466,16.06637279,
476,4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,16.7,36.3411,-0.528060844,0,0,-10.668864,24.6495744,-3.44112131,7.1904,-7.8588,-19.1193,3.684753,-9.762168,20.48751325,
477,15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91,12,36.3411,-1.62853656,0,0,-10.668864,20.1636864,-3.13571489,7.1904,-7.8588,-19.1193,3.250164,-13.017966,11.51616895,
478,10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03,14.6,36.3411,-1.1092572,0,0,-10.668864,23.512896,-3.23990535,7.1904,-7.8588,-19.1193,3.53121,-9.422478,19.15700145,
479,14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11,21.4,36.3411,-1.55377308,0,0,-10.668864,23.6801664,-2.91255624,7.1904,-7.8588,-19.1193,3.564876,-6.851286,21.81196308,
480,5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74,23,36.3411,-0.631322684,0,0,-9.244032,23.7295872,-5.11130334,7.1904,-7.8588,-19.1193,3.69117,-5.612724,23.37477518,
481,5.70818,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,23.7,36.3411,-0.618766712,0,0,-9.244032,25.6608,-4.97322859,7.1904,-7.8588,-19.1193,3.655551,-4.044924,26.9887997,
482,5.73116,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,395.28,7.01,25,36.3411,-0.621257744,0,0,-9.244032,26.8430976,-5.09100262,7.1904,-7.8588,-19.1193,3.676104,-3.663426,28.45288324,
483,2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42,21.8,36.3411,-0.305512392,0,0,-9.244032,21.9048192,-6.11753241,7.1904,-7.8588,-19.1193,3.654156,-5.445492,20.9998064,
484,2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34,20.6,36.3411,-0.257836988,0,0,-10.130208,22.3191936,-5.5588148,7.1904,-7.8588,-19.1193,3.447789,-6.971484,19.40203881,
485,3.67367,0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58,21.2,36.3411,-0.398225828,0,0,-10.130208,23.9956992,-5.95841059,7.1904,-7.8588,-19.1193,3.614166,-5.529108,22.14731278,
486,5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,19.1,36.3411,-0.6169857,0,0,-10.130208,23.2429824,-5.29296493,7.1904,-7.8588,-19.1193,3.651924,-7.828548,19.57959977,
487,4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,20.6,36.3411,-0.524186628,0,0,-10.130208,22.448448,-4.70543821,7.1904,-7.8588,-19.1193,3.610446,-5.98377,21.26869116,
488,0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06,15.2,36.3411,-0.016353224,0,0,-10.581984,20.7339264,-2.71805743,1.1984,-8.3898,-19.02465,3.674337,-9.438156,11.77876275,
489,0.18337,0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97,7,36.3411,-0.019877308,0,0,-10.581984,20.5818624,-2.62028558,1.1984,-8.3898,-19.02465,3.199665,-12.526722,8.157708512,
490,0.20746,0,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,318.43,29.68,8.1,36.3411,-0.022488664,0,0,-10.581984,19.3615488,-2.72059502,1.1984,-8.3898,-19.02465,2.961399,-15.510768,3.612162116,
491,0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,13.6,36.3411,-0.011462216,0,0,-10.581984,22.7449728,-2.78851287,1.1984,-8.3898,-19.02465,3.628023,-9.443382,13.67270471,
492,0.11132,0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35,20.1,36.3411,-0.012067088,0,0,-10.581984,22.7449728,-3.14944773,1.1984,-8.3898,-19.02465,3.69117,-6.97671,15.84098398,
493,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,396.9,12.01,21.8,36.3411,-0.018786804,0,0,-10.16496,21.6957312,-3.55516359,1.7976,-4.6138,-18.1728,3.69117,-6.276426,20.72366481,
494,0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59,24.5,36.3411,-0.030305388,0,0,-10.16496,22.5282816,-3.55516359,1.7976,-4.6138,-18.1728,3.69117,-7.102134,20.71898862,
495,0.17899,0,9.69,0,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,23.1,36.3411,-0.019402516,0,0,-10.16496,21.555072,-4.17747022,1.7976,-4.6138,-18.1728,3.657597,-9.19776,17.00517626,
496,0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,19.7,36.3411,-0.03139264,0,0,-10.16496,20.490624,-4.17747022,1.7976,-4.6138,-18.1728,3.69117,-11.047764,14.11230714,
497,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18.3,36.3411,-0.029092392,0,0,-10.16496,22.0264704,-4.31793329,1.7976,-4.6138,-18.1728,3.69117,-7.36866,19.18909472,
498,0.23912,0,9.69,0,0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92,21.2,36.3411,-0.025920608,0,0,-10.16496,22.8818304,-3.59606357,1.7976,-4.6138,-18.1728,3.69117,-6.751992,21.38616422,
499,0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,17.5,36.3411,-0.019276772,0,0,-10.16496,21.1711104,-3.58233073,1.7976,-4.6138,-18.1728,3.680661,-7.89126,18.5460439,
500,0.22438,0,9.69,0,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,16.8,36.3411,-0.024322792,0,0,-10.16496,22.9122432,-3.72906314,1.7976,-4.6138,-18.1728,3.69117,-7.488858,20.54830927,
501,0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,391.99,9.67,22.4,36.3411,-0.006789092,0,0,-9.956448,25.0639488,-3.69980622,0.2996,-3.2214,-19.8765,3.645507,-5.053542,23.53567049,
502,0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08,20.6,36.3411,-0.004907268,0,0,-9.956448,23.265792,-3.41455125,0.2996,-3.2214,-19.8765,3.69117,-4.745208,22.37864748,
503,0.06076,0,11.93,0,0.573,6.976,91,2.1675,1,273,21,396.9,5.64,23.9,36.3411,-0.006586384,0,0,-9.956448,26.5199616,-3.23542725,0.2996,-3.2214,-19.8765,3.69117,-2.947464,27.60800597,
504,0.10959,0,11.93,0,0.573,6.794,89.3,2.3889,1,273,21,393.45,6.48,22,36.3411,-0.011879556,0,0,-9.956448,25.8280704,-3.56591103,0.2996,-3.2214,-19.8765,3.659085,-3.386448,26.10926881,
505,0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,396.9,7.88,11.9,36.3411,-0.005139244,0,0,-9.956448,22.923648,-3.7392135,0.2996,-3.2214,-19.8765,3.69117,-4.118088,22.33872926,
